名前,住所,最寄り駅１,最寄り駅２,最寄り駅３,築年数,建物全体の階数,階数,賃料,管理費,敷金,礼金,間取り,面積,URL
東急東横線 学芸大学駅 2階建 築47年,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩14分,東急目黒線/武蔵小山駅 歩14分,東急目黒線/西小山駅 歩17分,築47年,2階建,1階,7.8万円,2000円,7.8万円,7.8万円,2K,32.4m2,https://suumo.jp/chintai/jnc_000087109404/?bc=100357896966
東急東横線 学芸大学駅 2階建 築47年,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩14分,東急目黒線/武蔵小山駅 歩14分,東急目黒線/西小山駅 歩17分,築47年,2階建,1階,7.9万円,2000円,7.9万円,7.9万円,2K,30m2,https://suumo.jp/chintai/jnc_000085533777/?bc=100347554806
東急目黒線 大岡山駅 6階建 築56年,東京都目黒区大岡山１,東急目黒線/大岡山駅 歩7分,東急大井町線/緑が丘駅 歩8分,東急東横線/都立大学駅 歩14分,築56年,6階建,2階,9万円,5500円,9万円,9万円,2K,30.96m2,https://suumo.jp/chintai/jnc_000034238973/?bc=100357901311
東急目黒線 西小山駅 3階建 築47年,東京都目黒区原町１,東急目黒線/西小山駅 歩2分,東急目黒線/洗足駅 歩9分,東急目黒線/武蔵小山駅 歩12分,築47年,3階建,1階,8.2万円,3000円,8.2万円,8.2万円,2K,28.72m2,https://suumo.jp/chintai/jnc_000032290029/?bc=100356716849
東急目黒線 西小山駅 3階建 築47年,東京都目黒区原町１,東急目黒線/西小山駅 歩2分,東急目黒線/洗足駅 歩9分,東急目黒線/武蔵小山駅 歩12分,築47年,3階建,3階,9万円,3000円,9万円,9万円,2K,34.78m2,https://suumo.jp/chintai/jnc_000086007295/?bc=100350507594
東急目黒線 西小山駅 3階建 築47年,東京都目黒区原町１,東急目黒線/西小山駅 歩2分,東急目黒線/洗足駅 歩9分,東急目黒線/武蔵小山駅 歩12分,築47年,3階建,3階,9万円,3000円,9万円,9万円,2K,31.47m2,https://suumo.jp/chintai/jnc_000013400251/?bc=100350507588
東急目黒線 西小山駅 3階建 築47年,東京都目黒区原町１,東急目黒線/西小山駅 歩2分,東急目黒線/洗足駅 歩9分,東急目黒線/武蔵小山駅 歩12分,築47年,3階建,3階,9.2万円,3000円,9.2万円,9.2万円,2K,33.06m2,https://suumo.jp/chintai/jnc_000087103543/?bc=100357870824
木下マンション,東京都目黒区原町１,東急目黒線/西小山駅 歩1分,東急目黒線/武蔵小山駅 歩11分,東急目黒線/洗足駅 歩10分,築47年,3階建,3階,9万円,3000円,9万円,9万円,2K,33.06m2,https://suumo.jp/chintai/jnc_000013400249/?bc=100310510670
木下マンション,東京都目黒区原町１,東急目黒線/西小山駅 歩1分,東急目黒線/武蔵小山駅 歩11分,東急目黒線/洗足駅 歩10分,築47年,3階建,3階,9.2万円,3000円,9.2万円,9.2万円,2K,33.06m2,https://suumo.jp/chintai/jnc_000087103542/?bc=100357798839
サクラノキテラス中目黒,東京都目黒区上目黒３,東急東横線/中目黒駅 歩6分,東京メトロ日比谷線/中目黒駅 歩6分,東急東横線/祐天寺駅 歩12分,築14年,3階建,1-3階,22.5万円,5000円,-,-,2DK,51.89m2,https://suumo.jp/chintai/jnc_000056804254/?bc=100356445425
サクラノキテラス中目黒,東京都目黒区上目黒３,東急東横線/中目黒駅 歩6分,東京メトロ日比谷線/中目黒駅 歩6分,東急東横線/祐天寺駅 歩12分,築14年,3階建,1階,23万円,5000円,23万円,-,2DK,45.43m2,https://suumo.jp/chintai/jnc_000067943107/?bc=100348540100
ヤマトヤハイツ,東京都目黒区目黒本町１,東急目黒線/武蔵小山駅 歩17分,東急東横線/学芸大学駅 歩13分,東急東横線/祐天寺駅 歩18分,築40年,3階建,2階,9万円,-,9万円,9万円,2K,30.44m2,https://suumo.jp/chintai/jnc_000087119090/?bc=100272353753
ワイズホーム,東京都目黒区原町１,東急目黒線/西小山駅 歩3分,東急目黒線/洗足駅 歩10分,東急目黒線/武蔵小山駅 歩11分,築16年,3階建,1階,17.6万円,-,17.6万円,17.6万円,2DK,66.98m2,https://suumo.jp/chintai/jnc_000086930631/?bc=100356847197
メゾン観京,東京都目黒区下目黒５,東急目黒線/不動前駅 歩15分,東急目黒線/武蔵小山駅 歩17分,ＪＲ山手線/目黒駅 歩24分,築48年,3階建,2階,8.5万円,-,8.5万円,8.5万円,2K,33m2,https://suumo.jp/chintai/jnc_000080379031/?bc=100353381276
プラチナフォルム中目黒ＷＥＳＴ,東京都目黒区東山２,東急東横線/中目黒駅 歩10分,東急田園都市線/池尻大橋駅 歩8分,京王井の頭線/神泉駅 歩16分,築3年,地下1地上4階建,3-4階,17.4万円,10000円,-,-,2DK,41.12m2,https://suumo.jp/chintai/jnc_000062670521/?bc=100357600587
プラチナフォルム中目黒ＷＥＳＴ,東京都目黒区東山２,東急東横線/中目黒駅 歩10分,東急田園都市線/池尻大橋駅 歩8分,京王井の頭線/神泉駅 歩16分,築3年,地下1地上4階建,4階,17.4万円,10000円,-,-,2DK,41.12m2,https://suumo.jp/chintai/jnc_000075645520/?bc=100353339139
GRAN PASEO碑文谷North,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩8分,東急目黒線/大岡山駅 歩14分,東急東横線/学芸大学駅 歩19分,築3年,4階建,3階,17.2万円,15000円,-,-,2DK,41.11m2,https://suumo.jp/chintai/jnc_000086700034/?bc=100352349537
GRAN PASEO碑文谷North,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩8分,東急目黒線/大岡山駅 歩14分,東急東横線/学芸大学駅 歩19分,築3年,4階建,3階,17.2万円,15000円,-,-,2DK,40.16m2,https://suumo.jp/chintai/jnc_000069781605/?bc=100357280871
GRAN PASEO碑文谷North,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩8分,東急目黒線/大岡山駅 歩14分,東急東横線/学芸大学駅 歩19分,築3年,4階建,1階,18万円,10000円,-,-,2DK,41.11m2,https://suumo.jp/chintai/jnc_000085588401/?bc=100356400330
GRAN PASEO碑文谷North,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩8分,東急目黒線/大岡山駅 歩14分,東急東横線/学芸大学駅 歩19分,築3年,4階建,3階,18.3万円,15000円,-,-,2DK,41.11m2,https://suumo.jp/chintai/jnc_000086450463/?bc=100352510146
GRAN PASEO碑文谷North,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩8分,東急目黒線/大岡山駅 歩14分,東急東横線/学芸大学駅 歩19分,築3年,4階建,3階,18.7万円,15000円,-,-,2DK,41.11m2,https://suumo.jp/chintai/jnc_000086271416/?bc=100352931255
ルミドゥース目黒,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩14分,東急目黒線/不動前駅 歩8分,東急目黒線/武蔵小山駅 歩13分,新築,地下1地上3階建,1階,18.8万円,15000円,-,-,2DK,43.52m2,https://suumo.jp/chintai/jnc_000086873523/?bc=100356301280
ルミドゥース目黒,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩14分,東急目黒線/不動前駅 歩8分,東急目黒線/武蔵小山駅 歩13分,新築,地下1地上3階建,1階,21.9万円,15000円,-,-,2LDK,42.55m2,https://suumo.jp/chintai/jnc_000086873524/?bc=100356301270
ルミドゥース目黒,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩14分,東急目黒線/不動前駅 歩8分,東急目黒線/武蔵小山駅 歩13分,新築,地下1地上3階建,2-3階,22.3万円,15000円,-,-,2LDK,40.04m2,https://suumo.jp/chintai/jnc_000086853884/?bc=100356493369
柿の木坂K&F,東京都目黒区柿の木坂２,東急東横線/都立大学駅 歩10分,東急東横線/学芸大学駅 歩16分,東急田園都市線/駒沢大学駅 歩24分,築29年,2階建,1階,12万円,3000円,12万円,12万円,2DK,41.8m2,https://suumo.jp/chintai/jnc_000056068239/?bc=100321972320
柿の木坂K&F,東京都目黒区柿の木坂２,東急東横線/都立大学駅 歩10分,東急東横線/学芸大学駅 歩16分,東急田園都市線/駒沢大学駅 歩24分,築29年,2階建,1階,12万円,3000円,12万円,12万円,2DK,41.8m2,https://suumo.jp/chintai/jnc_000057189679/?bc=100357807321
T′s garden西小山,東京都目黒区目黒本町５,東急目黒線/西小山駅 歩5分,東急目黒線/武蔵小山駅 歩9分,ＪＲ山手線/五反田駅 バス18分 (バス停)小山台高校入口 歩9分,築11年,4階建,3階,15.3万円,5000円,15.3万円,15.3万円,2DK,40.12m2,https://suumo.jp/chintai/jnc_000068739591/?bc=100356715340
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,新築,6階建,1階,18.3万円,15000円,-,-,2DK,40.06m2,https://suumo.jp/chintai/jnc_000086672281/?bc=100356209433
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,新築,6階建,1階,18.5万円,15000円,-,-,2DK,41.44m2,https://suumo.jp/chintai/jnc_000086672280/?bc=100356075164
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,新築,6階建,2階,18.5万円,15000円,-,-,2DK,40.14m2,https://suumo.jp/chintai/jnc_000086672282/?bc=100355038317
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,新築,6階建,2階,18.8万円,15000円,-,-,2DK,41.44m2,https://suumo.jp/chintai/jnc_000086672286/?bc=100356459267
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,新築,6階建,1階,19万円,15000円,-,-,2DK,40.14m2,https://suumo.jp/chintai/jnc_000086672276/?bc=100356956544
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,新築,6階建,3階,19万円,15000円,-,-,2DK,40.14m2,https://suumo.jp/chintai/jnc_000086672287/?bc=100355207705
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,新築,6階建,2階,19.1万円,15000円,-,-,2DK,40.13m2,https://suumo.jp/chintai/jnc_000086672285/?bc=100355208140
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,新築,6階建,1階,19.3万円,15000円,-,-,2DK,40.31m2,https://suumo.jp/chintai/jnc_000086672284/?bc=100356209367
