名前,住所,最寄り駅１,最寄り駅２,最寄り駅３,築年数,建物全体の階数,階数,賃料,管理費,敷金,礼金,間取り,面積,URL
ガリシア目黒大岡山,東京都目黒区大岡山１,東急大井町線/大岡山駅 歩7分,東急大井町線/緑が丘駅 歩15分,東急目黒線/洗足駅 歩15分,築3年,6階建,2階,11.9万円,15000円,-,11.9万円,2K,26.35m2,https://suumo.jp/chintai/jnc_000087051844/?bc=100357676776
ガリシア目黒大岡山,東京都目黒区大岡山１,東急大井町線/大岡山駅 歩7分,東急大井町線/緑が丘駅 歩15分,東急目黒線/洗足駅 歩15分,築3年,6階建,6階,12万円,17000円,-,-,2K,29.29m2,https://suumo.jp/chintai/jnc_000086369952/?bc=100354205617
ガリシア目黒大岡山,東京都目黒区大岡山１,東急大井町線/大岡山駅 歩7分,東急大井町線/緑が丘駅 歩15分,東急目黒線/洗足駅 歩15分,築3年,6階建,2階,12.4万円,15000円,-,-,2K,26.35m2,https://suumo.jp/chintai/jnc_000087071279/?bc=100357640742
ガリシア目黒大岡山,東京都目黒区大岡山１,東急大井町線/大岡山駅 歩7分,東急大井町線/緑が丘駅 歩15分,東急目黒線/洗足駅 歩15分,築3年,6階建,1階,12.45万円,15000円,-,12.45万円,2K,29.29m2,https://suumo.jp/chintai/jnc_000087019799/?bc=100357581234
ガリシア目黒大岡山,東京都目黒区大岡山１,東急大井町線/大岡山駅 歩7分,東急大井町線/緑が丘駅 歩15分,東急目黒線/洗足駅 歩15分,築3年,6階建,6階,12.6万円,15000円,-,12.6万円,2K,29.29m2,https://suumo.jp/chintai/jnc_000085286961/?bc=100348203757
SYFORME西小山,東京都目黒区原町２,東急目黒線/西小山駅 歩10分,東急目黒線/洗足駅 歩13分,東急大井町線/大岡山駅 歩19分,築2年,6階建,6階,11.3万円,10000円,-,-,2K,25.57m2,https://suumo.jp/chintai/jnc_000086992457/?bc=100357417773
SYFORME西小山,東京都目黒区原町２,東急目黒線/西小山駅 歩10分,東急目黒線/洗足駅 歩13分,東急大井町線/大岡山駅 歩19分,築2年,6階建,6階,12.6万円,10000円,-,-,2K,29.76m2,https://suumo.jp/chintai/jnc_000086996950/?bc=100357431803
ハウス大岡山,東京都目黒区大岡山１,東急目黒線/大岡山駅 歩7分,東急大井町線/緑が丘駅 歩7分,東急目黒線/奥沢駅 歩19分,築56年,6階建,2階,9万円,5500円,9万円,9万円,2DK,30.96m2,https://suumo.jp/chintai/jnc_000036679040/?bc=100357881866
ウィスタリアヒルズＮ棟,東京都目黒区目黒本町５,東急目黒線/武蔵小山駅 歩7分,東急目黒線/西小山駅 歩9分,東急目黒線/不動前駅 歩20分,築35年,3階建,1階,13.6万円,-,13.6万円,13.6万円,2DK,43.2m2,https://suumo.jp/chintai/jnc_000087077398/?bc=100357680999
エルファーロ大岡山II,東京都目黒区大岡山１,東急大井町線/大岡山駅 歩7分,東急東横線/都立大学駅 歩16分,東急大井町線/緑が丘駅 歩15分,築1年,4階建,3階,19.7万円,10000円,-,-,2LDK,45.02m2,https://suumo.jp/chintai/jnc_000086846070/?bc=100356228000
ZOOM都立大学,東京都目黒区中根１,東急東横線/都立大学駅 歩5分,東急東横線/自由が丘駅 歩15分,東急大井町線/緑が丘駅 歩19分,築8年,9階建,7階,24.7万円,16000円,24.7万円,24.7万円,2LDK,53.7m2,https://suumo.jp/chintai/jnc_000058345317/?bc=100357956806
ZOOM都立大学,東京都目黒区中根１,東急東横線/都立大学駅 歩5分,東急東横線/自由が丘駅 歩15分,東急大井町線/緑が丘駅 歩19分,築8年,9階建,7階,24.7万円,16000円,24.7万円,24.7万円,2LDK,53.7m2,https://suumo.jp/chintai/jnc_000086561596/?bc=100357866961
東急東横線 都立大学駅 9階建 築8年,東京都目黒区中根１,東急東横線/都立大学駅 歩5分,東急東横線/自由が丘駅 歩15分,東急大井町線/自由が丘駅 歩15分,築8年,9階建,7階,24.7万円,16000円,24.7万円,24.7万円,2LDK,53.7m2,https://suumo.jp/chintai/jnc_000058337558/?bc=100357928602
ARIOSO鷹番,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩14分,東急田園都市線/三軒茶屋駅 歩31分,築7年,3階建,1階,17.4万円,3000円,17.4万円,17.4万円,2LDK,49.25m2,https://suumo.jp/chintai/jnc_000087123870/?bc=100357993252
ウェルスクエア学芸大学,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩22分,新築,5階建,1階,18.6万円,12000円,18.6万円,18.6万円,2LDK,40.8m2,https://suumo.jp/chintai/jnc_000086567362/?bc=100354376219
ウェルスクエア学芸大学,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩22分,新築,5階建,2階,19.4万円,12000円,19.4万円,19.4万円,2LDK,40.8m2,https://suumo.jp/chintai/jnc_000086567367/?bc=100357280866
ウェルスクエア学芸大学,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩22分,新築,5階建,3階,19.6万円,12000円,19.6万円,19.6万円,2LDK,40.8m2,https://suumo.jp/chintai/jnc_000086567372/?bc=100354376213
ウェルスクエア学芸大学,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩22分,新築,5階建,2階,19.7万円,12000円,19.7万円,19.7万円,2LDK,40.84m2,https://suumo.jp/chintai/jnc_000086567363/?bc=100358002512
ウェルスクエア学芸大学,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩22分,新築,5階建,4階,19.8万円,12000円,19.8万円,19.8万円,2LDK,40.8m2,https://suumo.jp/chintai/jnc_000086567376/?bc=100354461827
ウェルスクエア学芸大学,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩22分,新築,5階建,3階,19.9万円,12000円,19.9万円,19.9万円,2LDK,40.84m2,https://suumo.jp/chintai/jnc_000086567368/?bc=100354376218
ウェルスクエア学芸大学,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩22分,新築,5階建,4階,20.1万円,12000円,20.1万円,20.1万円,2LDK,40.84m2,https://suumo.jp/chintai/jnc_000086567373/?bc=100354669636
ウェルスクエア学芸大学,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩22分,新築,5階建,5階,20.4万円,12000円,20.4万円,20.4万円,2LDK,40.84m2,https://suumo.jp/chintai/jnc_000086567377/?bc=100357092816
ウェルスクエア学芸大学,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩22分,新築,5階建,4階,20.9万円,12000円,20.9万円,20.9万円,2LDK,40.6m2,https://suumo.jp/chintai/jnc_000086567375/?bc=100354473476
ウェルスクエア学芸大学,東京都目黒区鷹番３,東急東横線/学芸大学駅 歩2分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩22分,新築,5階建,5階,21.7万円,12000円,21.7万円,21.7万円,2LDK,40.6m2,https://suumo.jp/chintai/jnc_000086567379/?bc=100356769725
ボヌール白子,東京都目黒区中根２,東急東横線/都立大学駅 歩9分,東急大井町線/緑が丘駅 歩11分,東急東横線/自由が丘駅 歩14分,築28年,3階建,2階,16.9万円,5000円,16.9万円,16.9万円,2LDK,61.15m2,https://suumo.jp/chintai/jnc_000086836174/?bc=100356227809
コリーヌ八雲弐番館,東京都目黒区八雲５,東急東横線/都立大学駅 歩10分,東急田園都市線/駒沢大学駅 歩22分,東急大井町線/自由が丘駅 歩23分,築27年,4階建,2階,15.5万円,7000円,31万円,15.5万円,2LDK,47.23m2,https://suumo.jp/chintai/jnc_000087109411/?bc=100357989841
レジディア祐天寺,東京都目黒区中目黒５,東急東横線/祐天寺駅 歩5分,東京メトロ日比谷線/中目黒駅 歩14分,東急東横線/学芸大学駅 歩15分,築18年,7階建,1階,27.7万円,15000円,27.7万円,-,2LDK,60.37m2,https://suumo.jp/chintai/jnc_000085070328/?bc=100344448784
レジディア祐天寺,東京都目黒区中目黒５,東急東横線/祐天寺駅 歩5分,東京メトロ日比谷線/中目黒駅 歩14分,東急東横線/学芸大学駅 歩15分,築18年,7階建,1階,28万円,15000円,28万円,28万円,2LDK,60.11m2,https://suumo.jp/chintai/jnc_000086423492/?bc=100353264545
レジディア祐天寺,東京都目黒区中目黒５,東急東横線/祐天寺駅 歩5分,東京メトロ日比谷線/中目黒駅 歩14分,東急東横線/学芸大学駅 歩15分,築18年,7階建,4階,29.5万円,15000円,29.5万円,29.5万円,2LDK,60.74m2,https://suumo.jp/chintai/jnc_000087077384/?bc=100357622427
レジディア祐天寺,東京都目黒区中目黒５,東急東横線/祐天寺駅 歩5分,東京メトロ日比谷線/中目黒駅 歩14分,東急東横線/学芸大学駅 歩15分,築18年,7階建,7階,31.5万円,15000円,31.5万円,31.5万円,2LDK,60.57m2,https://suumo.jp/chintai/jnc_000085951016/?bc=100350129471
レジディアタワー中目黒,東京都目黒区上目黒２,東急東横線/中目黒駅 歩3分,東急東横線/代官山駅 歩10分,ＪＲ山手線/恵比寿駅 歩18分,築17年,19階建,16階,35.5万円,15000円,35.5万円,35.5万円,2LDK,65.74m2,https://suumo.jp/chintai/jnc_000084811835/?bc=100354709629
レジディアタワー中目黒,東京都目黒区上目黒２,東急東横線/中目黒駅 歩3分,東急東横線/代官山駅 歩10分,ＪＲ山手線/恵比寿駅 歩18分,築17年,19階建,10階,37.5万円,15000円,37.5万円,37.5万円,2LDK,65.74m2,https://suumo.jp/chintai/jnc_000085664351/?bc=100340820967
レジディアタワー中目黒,東京都目黒区上目黒２,東急東横線/中目黒駅 歩3分,東急東横線/代官山駅 歩10分,ＪＲ山手線/恵比寿駅 歩18分,築17年,19階建,12階,39.5万円,15000円,39.5万円,39.5万円,2LDK,70.34m2,https://suumo.jp/chintai/jnc_000087044660/?bc=100357479707
レジディアタワー中目黒,東京都目黒区上目黒２,東急東横線/中目黒駅 歩3分,東急東横線/代官山駅 歩10分,ＪＲ山手線/恵比寿駅 歩18分,築17年,19階建,3階,39.5万円,15000円,39.5万円,79万円,2LDK,70.34m2,https://suumo.jp/chintai/jnc_000086561578/?bc=100356891382
パシフィック　レジデンス　目黒本町,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩15分,東急目黒線/西小山駅 歩18分,東急目黒線/武蔵小山駅 歩19分,築17年,7階建,2階,28.1万円,12000円,28.1万円,-,2LDK,75.58m2,https://suumo.jp/chintai/jnc_000086846100/?bc=100356214582
パシフィック　レジデンス　目黒本町,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩15分,東急目黒線/西小山駅 歩18分,東急目黒線/武蔵小山駅 歩19分,築17年,7階建,2階,28.1万円,12000円,28.1万円,-,2LDK,75.58m2,https://suumo.jp/chintai/jnc_000087130292/?bc=100348763906
パシフィック　レジデンス　目黒本町,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩15分,東急目黒線/西小山駅 歩18分,東急目黒線/武蔵小山駅 歩19分,築17年,7階建,2階,28.3万円,12000円,28.3万円,-,2LDK,75.58m2,https://suumo.jp/chintai/jnc_000083805501/?bc=100348821471
パーク・ハイム目黒碑文谷,東京都目黒区碑文谷１,東急東横線/学芸大学駅 歩16分,東急目黒線/西小山駅 歩16分,東急東横線/都立大学駅 歩18分,築26年,地下1地上8階建,3階,21.8万円,-,21.8万円,21.8万円,2LDK,66.54m2,https://suumo.jp/chintai/jnc_000086963339/?bc=100357075302
パーク・ハイム目黒碑文谷,東京都目黒区碑文谷１,東急東横線/学芸大学駅 歩16分,東急目黒線/西小山駅 歩16分,東急東横線/都立大学駅 歩18分,築26年,地下1地上8階建,3階,21.8万円,-,21.8万円,21.8万円,2LDK,66.54m2,https://suumo.jp/chintai/jnc_000086968363/?bc=100357062593
東急目黒線 大岡山駅 6階建 築3年,東京都目黒区大岡山１,東急目黒線/大岡山駅 歩7分,東急大井町線/緑が丘駅 歩14分,東急目黒線/洗足駅 歩15分,築3年,6階建,2階,11.9万円,15000円,-,11.9万円,2K,26.35m2,https://suumo.jp/chintai/jnc_000087044658/?bc=100357930790
東急目黒線 大岡山駅 6階建 築3年,東京都目黒区大岡山１,東急目黒線/大岡山駅 歩7分,東急大井町線/緑が丘駅 歩14分,東急目黒線/洗足駅 歩15分,築3年,6階建,2階,12.4万円,15000円,-,-,2K,26.35m2,https://suumo.jp/chintai/jnc_000087044659/?bc=100357930799
東急目黒線 大岡山駅 6階建 築3年,東京都目黒区大岡山１,東急目黒線/大岡山駅 歩7分,東急大井町線/緑が丘駅 歩14分,東急目黒線/洗足駅 歩15分,築3年,6階建,1階,12.45万円,15000円,-,12.45万円,2K,29.29m2,https://suumo.jp/chintai/jnc_000087019800/?bc=100357336179
東急目黒線 大岡山駅 6階建 築3年,東京都目黒区大岡山１,東急目黒線/大岡山駅 歩7分,東急大井町線/緑が丘駅 歩14分,東急目黒線/洗足駅 歩15分,築3年,6階建,1階,12.95万円,15000円,-,-,2K,29.29m2,https://suumo.jp/chintai/jnc_000087019801/?bc=100357320146
五本木コーポ,東京都目黒区五本木３,東急東横線/学芸大学駅 歩8分,東急東横線/祐天寺駅 歩14分,,築36年,2階建,1階,11万円,-,11万円,11万円,2K,37.91m2,https://suumo.jp/chintai/jnc_000073574359/?bc=100314938748
東急東横線 学芸大学駅 3階建 築22年,東京都目黒区中央町１,東急東横線/学芸大学駅 歩10分,東急東横線/祐天寺駅 歩17分,東急目黒線/武蔵小山駅 歩19分,築22年,3階建,1階,12.2万円,4000円,12.2万円,12.2万円,2K,36.31m2,https://suumo.jp/chintai/jnc_000085716227/?bc=100357679714
東急東横線 学芸大学駅 3階建 築22年,東京都目黒区中央町１,東急東横線/学芸大学駅 歩10分,東急東横線/祐天寺駅 歩17分,東急目黒線/武蔵小山駅 歩19分,築22年,3階建,1階,12.2万円,4000円,12.2万円,12.2万円,2K,36.31m2,https://suumo.jp/chintai/jnc_000085708673/?bc=100349907680
パークウェル目黒本町,東京都目黒区目黒本町５,東急目黒線/武蔵小山駅 歩6分,東急目黒線/西小山駅 歩11分,東急目黒線/不動前駅 歩20分,築25年,7階建,7階,9.5万円,-,9.5万円,9.5万円,2K,31.01m2,https://suumo.jp/chintai/jnc_000033354017/?bc=100355598131
東急目黒線 武蔵小山駅 7階建 築25年,東京都目黒区目黒本町５,東急目黒線/武蔵小山駅 歩6分,東急目黒線/西小山駅 歩12分,東急目黒線/不動前駅 歩19分,築25年,7階建,7階,9.5万円,-,9.5万円,9.5万円,2K,31.01m2,https://suumo.jp/chintai/jnc_000033354018/?bc=100355661132
東急東横線 学芸大学駅 2階建 築38年,東京都目黒区中央町２,東急東横線/学芸大学駅 歩10分,東急東横線/祐天寺駅 歩11分,東急目黒線/武蔵小山駅 歩27分,築38年,2階建,2階,9.5万円,-,-,-,2K,31.19m2,https://suumo.jp/chintai/jnc_000047976706/?bc=100343906261
東急東横線 祐天寺駅 2階建 築43年,東京都目黒区祐天寺１,東急東横線/祐天寺駅 歩5分,東京メトロ日比谷線/中目黒駅 歩12分,東急東横線/学芸大学駅 歩18分,築43年,2階建,2階,12万円,-,12万円,12万円,2K,35m2,https://suumo.jp/chintai/jnc_000030924249/?bc=100358002675
弥生荘,東京都目黒区大橋２,東急田園都市線/池尻大橋駅 歩6分,ＪＲ山手線/渋谷駅 歩16分,東急東横線/中目黒駅 歩21分,築49年,2階建,1階,8万円,2000円,8万円,8万円,2K,34.78m2,https://suumo.jp/chintai/jnc_000075941726/?bc=100291918778
東急田園都市線 池尻大橋駅 3階建 築45年,東京都目黒区大橋２,東急田園都市線/池尻大橋駅 歩7分,東急東横線/渋谷駅 歩20分,東急田園都市線/三軒茶屋駅 歩25分,築45年,3階建,2階,12万円,5000円,12万円,12万円,2K,29.16m2,https://suumo.jp/chintai/jnc_000075042453/?bc=100356127146
東急東横線 学芸大学駅 2階建 築47年,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩14分,東急目黒線/武蔵小山駅 歩14分,東急目黒線/西小山駅 歩17分,築47年,2階建,1階,7.9万円,-,7.9万円,7.9万円,2K,33.12m2,https://suumo.jp/chintai/jnc_000086944301/?bc=100356862177
