名前,住所,最寄り駅１,最寄り駅２,最寄り駅３,築年数,建物全体の階数,階数,賃料,管理費,敷金,礼金,間取り,面積,URL,建物階数_最小,建物階数_最大,階数_最小,階数_最大
ＪＲ山手線 目黒駅 地下2地上25階建 築16年,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩7分,東急目黒線/目黒駅 歩8分,東京メトロ南北線/目黒駅 歩7分,16,地下2地上25階建,22階,648000,50000,648000,1296000,2LDK,105.83,https://suumo.jp/chintai/jnc_000084897416/?bc=100354261964,-2,25,22,22
東急東横線 都立大学駅 2階建 新築,東京都目黒区東が丘１,東急東横線/都立大学駅 歩17分,東急田園都市線/駒沢大学駅 歩16分,東急東横線/学芸大学駅 歩20分,0,2階建,1階,209000,6000,209000,209000,2LDK,56.1,https://suumo.jp/chintai/jnc_000086975907/?bc=100357073444,0,2,1,1
東急東横線 都立大学駅 2階建 新築,東京都目黒区東が丘１,東急東横線/都立大学駅 歩17分,東急田園都市線/駒沢大学駅 歩16分,東急東横線/学芸大学駅 歩20分,0,2階建,2階,219000,6000,219000,219000,2LDK,56.1,https://suumo.jp/chintai/jnc_000086975909/?bc=100357073421,0,2,2,2
東急東横線 都立大学駅 2階建 新築,東京都目黒区東が丘１,東急東横線/都立大学駅 歩17分,東急田園都市線/駒沢大学駅 歩16分,東急東横線/学芸大学駅 歩20分,0,2階建,2階,219000,6000,219000,219000,2LDK,55.27,https://suumo.jp/chintai/jnc_000086975908/?bc=100357073445,0,2,2,2
ＪＲ山手線 目黒駅 4階建 築22年,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩9分,東急目黒線/不動前駅 歩16分,ＪＲ山手線/恵比寿駅 歩20分,22,4階建,1階,287000,8000,287000,287000,2LDK,65.16,https://suumo.jp/chintai/jnc_000086265556/?bc=100352503636,0,4,1,1
ＪＲ山手線 目黒駅 4階建 築22年,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩9分,東急目黒線/不動前駅 歩16分,ＪＲ山手線/恵比寿駅 歩20分,22,4階建,2階,292000,8000,292000,292000,2LDK,65.16,https://suumo.jp/chintai/jnc_000086793838/?bc=100355925460,0,4,2,2
東急東横線 学芸大学駅 5階建 新築,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩14分,東急目黒線/武蔵小山駅 歩20分,東急東横線/祐天寺駅 歩23分,0,5階建,5階,305000,15000,0,305000,2LDK,56.03,https://suumo.jp/chintai/jnc_000086672253/?bc=100355201749,0,5,5,5
東急東横線 学芸大学駅 5階建 新築,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩14分,東急目黒線/武蔵小山駅 歩20分,東急東横線/祐天寺駅 歩23分,0,5階建,5階,385000,15000,0,385000,2LDK,56.03,https://suumo.jp/chintai/jnc_000086846099/?bc=100356421353,0,5,5,5
東急東横線 祐天寺駅 7階建 新築,東京都目黒区祐天寺２,東急東横線/祐天寺駅 歩2分,東急東横線/中目黒駅 歩12分,東急東横線/学芸大学駅 歩16分,0,7階建,7階,410000,25000,410000,410000,2LDK,51.8,https://suumo.jp/chintai/jnc_000083580988/?bc=100345142787,0,7,7,7
東急東横線 都立大学駅 8階建 築49年,東京都目黒区八雲１,東急東横線/都立大学駅 歩5分,東急東横線/自由が丘駅 歩18分,東急大井町線/緑が丘駅 歩20分,49,8階建,3階,160000,10000,160000,160000,2DK,43.57,https://suumo.jp/chintai/jnc_000086951036/?bc=100356895181,0,8,3,3
東急東横線 代官山駅 12階建 築25年,東京都目黒区中目黒１,東急東横線/代官山駅 歩4分,東京メトロ日比谷線/中目黒駅 歩7分,東急東横線/中目黒駅 歩7分,25,12階建,5階,270000,0,270000,270000,2LDK,52.04,https://suumo.jp/chintai/jnc_000086975901/?bc=100357051200,0,12,5,5
和貴レジデンス,東京都目黒区目黒本町１,東急東横線/学芸大学駅 歩12分,東急目黒線/武蔵小山駅 歩14分,東急目黒線/西小山駅 歩17分,31,3階建,2階,158000,0,158000,158000,2LDK,53.12,https://suumo.jp/chintai/jnc_000086271423/?bc=100355607108,0,3,2,2
東急東横線 祐天寺駅 4階建 築29年,東京都目黒区中町２,東急東横線/祐天寺駅 歩10分,東急東横線/学芸大学駅 歩13分,ＪＲ山手線/目黒駅 バス17分 (バス停)水道局目黒営業所前 歩2分,29,4階建,1階,274000,10000,274000,274000,2LDK,74.68,https://suumo.jp/chintai/jnc_000086836173/?bc=100356240637,0,4,1,1
京王井の頭線 神泉駅 地下1地上6階建 築42年,東京都目黒区駒場１,京王井の頭線/神泉駅 歩6分,東急田園都市線/池尻大橋駅 歩9分,京王井の頭線/駒場東大前駅 歩10分,42,地下1地上6階建,6階,145000,0,145000,0,2LDK,47.22,https://suumo.jp/chintai/jnc_000077318390/?bc=100356463990,-1,6,6,6
パシフィック　レジデンス　目黒本町,東京都目黒区目黒本町２,東急東横線/学芸大学駅 歩15分,東急目黒線/西小山駅 歩18分,東急目黒線/武蔵小山駅 歩19分,17,7階建,2階,283000,12000,283000,0,2LDK,75.58,https://suumo.jp/chintai/jnc_000085779364/?bc=100348763906,0,7,2,2
菅野ビル,東京都目黒区中根１,東急東横線/都立大学駅 歩2分,東急東横線/自由が丘駅 歩16分,東急大井町線/緑が丘駅 歩17分,34,5階建,4階,195000,5000,195000,0,2LDK,74.77,https://suumo.jp/chintai/jnc_000086700019/?bc=100351815246,0,5,4,4
菅野ビル,東京都目黒区中根１,東急東横線/都立大学駅 歩2分,東急東横線/自由が丘駅 歩16分,東急大井町線/緑が丘駅 歩17分,34,5階建,4階,195000,5000,195000,0,2LDK,74.77,https://suumo.jp/chintai/jnc_000086708968/?bc=100350784743,0,5,4,4
東急東横線 都立大学駅 5階建 築34年,東京都目黒区中根１,東急東横線/都立大学駅 歩2分,,,34,5階建,4階,195000,5000,195000,0,2LDK,74.77,https://suumo.jp/chintai/jnc_000086687798/?bc=100355671843,0,5,4,4
都立大アーバンハイム,東京都目黒区平町１,東急東横線/都立大学駅 歩2分,東急東横線/学芸大学駅 歩23分,東急大井町線/自由が丘駅 歩22分,46,5階建,3階,230000,10000,230000,230000,2LDK,70.2,https://suumo.jp/chintai/jnc_000086901771/?bc=100356400550,0,5,3,3
東急東横線 都立大学駅 3階建 築35年,東京都目黒区平町１,東急東横線/都立大学駅 歩3分,東急目黒線/大岡山駅 歩19分,東急大井町線/緑が丘駅 歩19分,35,3階建,3階,102000,3000,102000,0,2K,34.02,https://suumo.jp/chintai/jnc_000086603138/?bc=100345751928,0,3,3,3
フロール氷川台,東京都目黒区大橋２,東急田園都市線/池尻大橋駅 歩6分,京王井の頭線/神泉駅 歩8分,ＪＲ山手線/渋谷駅 歩18分,45,3階建,2階,120000,5000,120000,120000,2K,33,https://suumo.jp/chintai/jnc_000036596910/?bc=100353343890,0,3,2,2
東急東横線 学芸大学駅 6階建 築43年,東京都目黒区柿の木坂１,東急東横線/学芸大学駅 歩9分,東急東横線/都立大学駅 歩10分,東急東横線/自由が丘駅 バス7分 (バス停)碑文谷警察署 歩6分,43,6階建,2階,95000,5000,95000,95000,2K,41.26,https://suumo.jp/chintai/jnc_000082408508/?bc=100333320569,0,6,2,2
東急東横線 学芸大学駅 6階建 築43年,東京都目黒区柿の木坂１,東急東横線/学芸大学駅 歩9分,東急東横線/都立大学駅 歩10分,東急東横線/自由が丘駅 バス7分 (バス停)碑文谷警察署 歩6分,43,6階建,2階,110000,5000,110000,110000,2DK,45.87,https://suumo.jp/chintai/jnc_000082408509/?bc=100353596495,0,6,2,2
東急東横線 祐天寺駅 2階建 築29年,東京都目黒区中目黒５,東急東横線/祐天寺駅 歩12分,東京メトロ日比谷線/中目黒駅 歩14分,東急東横線/代官山駅 歩20分,29,2階建,1階,108000,2000,108000,108000,2K,32.18,https://suumo.jp/chintai/jnc_000051927070/?bc=100354567788,0,2,1,1
メルシー下目黒,東京都目黒区下目黒５,東急目黒線/武蔵小山駅 歩14分,東急目黒線/不動前駅 歩17分,都営三田線/目黒駅 歩19分,31,3階建,2階,99000,3500,99000,99000,2K,30.4,https://suumo.jp/chintai/jnc_000084500923/?bc=100341164452,0,3,2,2
メルシー下目黒,東京都目黒区下目黒５,東急目黒線/武蔵小山駅 歩14分,東急目黒線/不動前駅 歩17分,都営三田線/目黒駅 歩19分,31,3階建,2階,120000,3500,120000,120000,2K,35.4,https://suumo.jp/chintai/jnc_000066944314/?bc=100346176012,0,3,2,2
東急目黒線 武蔵小山駅 4階建 築51年,東京都目黒区目黒本町６,東急目黒線/武蔵小山駅 歩11分,東急目黒線/西小山駅 歩10分,東急東横線/学芸大学駅 歩20分,51,4階建,3階,80000,3000,80000,80000,2K,30,https://suumo.jp/chintai/jnc_000086908918/?bc=100356797535,0,4,3,3
プラチナフォルム中目黒WEST,東京都目黒区東山２,東急田園都市線/池尻大橋駅 歩8分,東急東横線/中目黒駅 歩10分,京王井の頭線/神泉駅 歩17分,3,地下1地上4階建,4階,174000,10000,0,0,2DK,41.12,https://suumo.jp/chintai/jnc_000075645520/?bc=100353339139,-1,4,4,4
東急目黒線 西小山駅 4階建 築11年,東京都目黒区目黒本町５,東急目黒線/西小山駅 歩5分,東急目黒線/武蔵小山駅 歩9分,東急大井町線/北千束駅 歩20分,11,4階建,3階,153000,5000,153000,153000,2DK,40.12,https://suumo.jp/chintai/jnc_000068739592/?bc=100355657513,0,4,3,3
プレジール東山,東京都目黒区東山３,東急田園都市線/池尻大橋駅 歩2分,東急東横線/祐天寺駅 歩24分,京王井の頭線/駒場東大前駅 歩19分,29,3階建,2階,117000,3000,117000,117000,2DK,40.56,https://suumo.jp/chintai/jnc_000086853900/?bc=100356615586,0,3,2,2
プレジール東山,東京都目黒区東山３,東急田園都市線/池尻大橋駅 歩2分,東急東横線/祐天寺駅 歩24分,京王井の頭線/駒場東大前駅 歩19分,29,3階建,2階,117000,5000,117000,117000,2DK,40.56,https://suumo.jp/chintai/jnc_000086740506/?bc=100356650142,0,3,2,2
東急東横線 自由が丘駅 2階建 築38年,東京都目黒区自由が丘２,東急東横線/自由が丘駅 歩10分,東急東横線/都立大学駅 歩14分,東急目黒線/奥沢駅 歩18分,38,2階建,1階,120000,5000,120000,120000,2DK,36,https://suumo.jp/chintai/jnc_000085174377/?bc=100354587037,0,2,1,1
東急東横線 都立大学駅 2階建 築2年,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩5分,東急東横線/学芸大学駅 歩19分,東急東横線/自由が丘駅 歩22分,2,2階建,1階,230000,7000,230000,230000,2LDK,49.54,https://suumo.jp/chintai/jnc_000086788015/?bc=100355903452,0,2,1,1
ＪＲ山手線 目黒駅 4階建 築11年,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩14分,東急目黒線/不動前駅 歩7分,東急目黒線/武蔵小山駅 歩13分,11,4階建,2階,174000,6000,174000,174000,2LDK,49.72,https://suumo.jp/chintai/jnc_000086271405/?bc=100356448690,0,4,2,2
ハナブサマンション,東京都目黒区青葉台１,東急東横線/中目黒駅 歩6分,東急東横線/代官山駅 歩8分,ＪＲ山手線/恵比寿駅 歩13分,38,4階建,4階,125000,5000,125000,187500,2DK,42,https://suumo.jp/chintai/jnc_000085923138/?bc=100355901104,0,4,4,4
シュロスゾンネ,東京都目黒区上目黒２,東京メトロ日比谷線/中目黒駅 歩4分,東急東横線/祐天寺駅 歩13分,ＪＲ山手線/恵比寿駅 歩20分,38,地下1地上10階建,5階,227000,10000,227000,227000,2SDK,54.23,https://suumo.jp/chintai/jnc_000086724087/?bc=100356207722,-1,10,5,5
東急東横線 学芸大学駅 3階建 築22年,東京都目黒区鷹番１,東急東横線/学芸大学駅 歩7分,東急東横線/都立大学駅 歩18分,東急東横線/祐天寺駅 歩19分,22,3階建,2階,200000,5000,200000,200000,2LDK,55.2,https://suumo.jp/chintai/jnc_000086205050/?bc=100356464070,0,3,2,2
東急東横線 学芸大学駅 3階建 築22年,東京都目黒区鷹番１,東急東横線/学芸大学駅 歩7分,東急東横線/都立大学駅 歩18分,東急東横線/祐天寺駅 歩19分,22,3階建,2階,200000,5000,200000,200000,2LDK,55.2,https://suumo.jp/chintai/jnc_000086199189/?bc=100351883474,0,3,2,2
東急東横線 都立大学駅 7階建 新築,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩9分,東急東横線/学芸大学駅 歩14分,東急大井町線/大岡山駅 歩24分,0,7階建,2階,273000,15000,273000,273000,2LDK,61.59,https://suumo.jp/chintai/jnc_000085504544/?bc=100348608858,0,7,2,2
東急東横線 都立大学駅 7階建 新築,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩9分,東急東横線/学芸大学駅 歩14分,東急大井町線/大岡山駅 歩24分,0,7階建,3階,273000,15000,273000,273000,2LDK,61.59,https://suumo.jp/chintai/jnc_000085504548/?bc=100348255736,0,7,3,3
東急東横線 都立大学駅 7階建 新築,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩9分,東急東横線/学芸大学駅 歩14分,東急大井町線/大岡山駅 歩24分,0,7階建,5階,273000,15000,273000,273000,2LDK,58.1,https://suumo.jp/chintai/jnc_000085504554/?bc=100349735607,0,7,5,5
東急東横線 学芸大学駅 10階建 築5年,東京都目黒区碑文谷２,東急東横線/学芸大学駅 歩8分,東急東横線/都立大学駅 歩14分,東急目黒線/西小山駅 歩17分,5,10階建,5階,265000,15000,265000,0,2LDK,54.56,https://suumo.jp/chintai/jnc_000086832574/?bc=100342520432,0,10,5,5
東急東横線 学芸大学駅 10階建 築5年,東京都目黒区碑文谷２,東急東横線/学芸大学駅 歩8分,東急東横線/都立大学駅 歩14分,東急目黒線/西小山駅 歩17分,5,10階建,5階,275000,15000,275000,0,2LDK,54.56,https://suumo.jp/chintai/jnc_000086234995/?bc=100338791143,0,10,5,5
ＪＲ山手線 目黒駅 2階建 築36年,東京都目黒区下目黒５,ＪＲ山手線/目黒駅 歩18分,東急目黒線/武蔵小山駅 歩17分,東急東横線/祐天寺駅 歩21分,36,2階建,1階,103000,0,103000,103000,2DK,39.74,https://suumo.jp/chintai/jnc_000025602146/?bc=100349668912,0,2,1,1
ハウスM,東京都目黒区碑文谷４,東急東横線/都立大学駅 歩10分,東急東横線/学芸大学駅 歩14分,東急目黒線/大岡山駅 歩21分,36,3階建,2階,145000,0,145000,145000,2DK,48.61,https://suumo.jp/chintai/jnc_000086881716/?bc=100356444857,0,3,2,2
東急目黒線 武蔵小山駅 6階建 築36年,東京都目黒区目黒本町４,東急目黒線/武蔵小山駅 歩10分,東急目黒線/西小山駅 歩13分,東急東横線/学芸大学駅 歩21分,36,6階建,4階,127000,6000,127000,127000,2DK,43.5,https://suumo.jp/chintai/jnc_000072631117/?bc=100333320363,0,6,4,4
NTPRレジデンス鷹番,東京都目黒区鷹番１,東急東横線/学芸大学駅 歩9分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩21分,15,4階建,3階,260000,0,260000,260000,2LDK,77.01,https://suumo.jp/chintai/jnc_000086655184/?bc=100354934031,0,4,3,3
NTPRレジデンス鷹番,東京都目黒区鷹番１,東急東横線/学芸大学駅 歩9分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩21分,15,4階建,3階,265000,0,265000,265000,2SLDK,82.47,https://suumo.jp/chintai/jnc_000084401017/?bc=100343864184,0,4,3,3
NTPRレジデンス鷹番,東京都目黒区鷹番１,東急東横線/学芸大学駅 歩9分,東急東横線/祐天寺駅 歩17分,東急東横線/都立大学駅 歩21分,15,4階建,3階,265000,0,265000,265000,2SLDK,82.47,https://suumo.jp/chintai/jnc_000084395306/?bc=100353030484,0,4,3,3
東急東横線 都立大学駅 3階建 築15年,東京都目黒区平町２,東急東横線/都立大学駅 歩9分,東急目黒線/大岡山駅 歩13分,東急大井町線/緑が丘駅 歩16分,15,3階建,2階,269000,15000,269000,269000,2LDK,66.91,https://suumo.jp/chintai/jnc_000084811842/?bc=100352205762,0,3,2,2
エルファーロ都立大学,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,東急東横線/自由が丘駅 歩18分,東急目黒線/奥沢駅 歩22分,1,4階建,1階,228000,15000,0,0,2LDK,45.61,https://suumo.jp/chintai/jnc_000086634621/?bc=100354832330,0,4,1,1
エルファーロ都立大学,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,東急東横線/自由が丘駅 歩18分,東急目黒線/奥沢駅 歩22分,1,4階建,2階,233000,10000,0,0,2LDK,45.61,https://suumo.jp/chintai/jnc_000086640402/?bc=100354828443,0,4,2,2
エルファーロ都立大学,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,東急東横線/自由が丘駅 歩18分,東急目黒線/奥沢駅 歩22分,1,4階建,3階,233000,15000,0,0,2LDK,45.61,https://suumo.jp/chintai/jnc_000086634627/?bc=100354832332,0,4,3,3
エルファーロ都立大学,東京都目黒区中根１,東急東横線/都立大学駅 歩4分,東急東横線/自由が丘駅 歩18分,東急目黒線/奥沢駅 歩22分,1,4階建,2階,233000,15000,0,0,2LDK,45.61,https://suumo.jp/chintai/jnc_000086634624/?bc=100354832335,0,4,2,2
東急目黒線 目黒駅 地下1地上10階建 新築,東京都目黒区目黒２,東急目黒線/目黒駅 歩9分,東急目黒線/不動前駅 歩14分,ＪＲ山手線/恵比寿駅 歩24分,0,地下1地上10階建,5階,274000,20000,0,0,2LDK,44.22,https://suumo.jp/chintai/jnc_000086881726/?bc=100351457929,-1,10,5,5
東急目黒線 目黒駅 地下1地上10階建 新築,東京都目黒区目黒２,東急目黒線/目黒駅 歩9分,東急目黒線/不動前駅 歩14分,ＪＲ山手線/恵比寿駅 歩24分,0,地下1地上10階建,10階,310000,20000,0,0,2LDK,44.22,https://suumo.jp/chintai/jnc_000086881725/?bc=100356469898,-1,10,10,10
クロスエアタワー,東京都目黒区大橋１,東急田園都市線/池尻大橋駅 歩5分,京王井の頭線/神泉駅 歩14分,京王井の頭線/駒場東大前駅 歩17分,12,42階建,12階,300000,20000,300000,300000,2LDK,61.68,https://suumo.jp/chintai/jnc_000015338024/?bc=100356195145,0,42,12,12
京王井の頭線 神泉駅 地下1地上7階建 築3年,東京都目黒区駒場１,京王井の頭線/神泉駅 歩7分,ＪＲ山手線/渋谷駅 歩13分,東急田園都市線/池尻大橋駅 歩11分,3,地下1地上7階建,7階,320000,20000,320000,0,2LDK,54.95,https://suumo.jp/chintai/jnc_000086662816/?bc=100356192334,-1,7,7,7
ＪＲ山手線 目黒駅 14階建 築7年,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩10分,東急目黒線/不動前駅 歩12分,東急目黒線/武蔵小山駅 歩18分,7,14階建,4階,258000,15000,258000,258000,2LDK,55.11,https://suumo.jp/chintai/jnc_000086265537/?bc=100352531414,0,14,4,4
ＪＲ山手線 目黒駅 14階建 築7年,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩10分,東急目黒線/不動前駅 歩12分,東急目黒線/武蔵小山駅 歩18分,7,14階建,6階,260000,15000,260000,260000,2LDK,55.11,https://suumo.jp/chintai/jnc_000086144140/?bc=100351572703,0,14,6,6
ＪＲ山手線 目黒駅 14階建 築7年,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩10分,東急目黒線/不動前駅 歩12分,東急目黒線/武蔵小山駅 歩18分,7,14階建,5階,265000,15000,265000,265000,2LDK,55.11,https://suumo.jp/chintai/jnc_000050723745/?bc=100355936864,0,14,5,5
ＪＲ山手線 目黒駅 地下1地上4階建 築2年,東京都目黒区三田２,ＪＲ山手線/目黒駅 歩11分,ＪＲ山手線/恵比寿駅 歩14分,東急東横線/中目黒駅 歩20分,2,地下1地上4階建,2階,279000,10000,0,0,2LDK,49.43,https://suumo.jp/chintai/jnc_000084460593/?bc=100345842181,-1,4,2,2
イクサージュ目黒,東京都目黒区下目黒３,東急目黒線/不動前駅 歩5分,都営三田線/目黒駅 歩12分,東急目黒線/目黒駅 歩12分,14,地下2地上11階建,1階,260000,0,260000,260000,2LDK,58.37,https://suumo.jp/chintai/jnc_000063108298/?bc=100356508996,-2,11,1,1
東急東横線 都立大学駅 2階建 築44年,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩13分,東急東横線/学芸大学駅 歩15分,東急目黒線/西小山駅 歩17分,44,2階建,2階,75000,3000,0,0,2DK,34.55,https://suumo.jp/chintai/jnc_000086625687/?bc=100334899006,0,2,2,2
東急東横線 代官山駅 6階建 築0年,東京都目黒区中目黒１,東急東横線/代官山駅 歩6分,ＪＲ山手線/恵比寿駅 歩9分,東急東横線/中目黒駅 歩10分,0,6階建,2階,352000,0,352000,352000,2LDK,57.17,https://suumo.jp/chintai/jnc_000086758251/?bc=100356426910,0,6,2,2
東急東横線 祐天寺駅 3階建 築4年,東京都目黒区上目黒５,東急東横線/祐天寺駅 歩11分,東急田園都市線/池尻大橋駅 歩16分,東京メトロ日比谷線/中目黒駅 歩15分,4,3階建,2階,230000,9000,230000,230000,2LDK,51.47,https://suumo.jp/chintai/jnc_000086594310/?bc=100354452285,0,3,2,2
グレイス大岡山,東京都目黒区大岡山１,東急目黒線/大岡山駅 歩5分,東急大井町線/緑が丘駅 歩15分,東急東横線/都立大学駅 歩19分,0,3階建,3階,285000,5000,285000,285000,2LDK,67.66,https://suumo.jp/chintai/jnc_000086423456/?bc=100349322524,0,3,3,3
フェリーチェ目黒,東京都目黒区目黒４,東急東横線/祐天寺駅 歩15分,ＪＲ山手線/目黒駅 歩19分,東京メトロ日比谷線/中目黒駅 歩20分,26,4階建,1階,135000,5000,270000,135000,2DK,45,https://suumo.jp/chintai/jnc_000085896606/?bc=100349703455,0,4,1,1
東急東横線 都立大学駅 3階建 築28年,東京都目黒区中根２,東急東横線/都立大学駅 歩9分,東急大井町線/緑が丘駅 歩11分,東急目黒線/奥沢駅 歩17分,28,3階建,2階,169000,5000,169000,169000,2LDK,61.15,https://suumo.jp/chintai/jnc_000086836175/?bc=100356308524,0,3,2,2
東急東横線 都立大学駅 地下1地上3階建 築18年,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩6分,東急東横線/学芸大学駅 歩18分,東急大井町線/緑が丘駅 歩21分,18,地下1地上3階建,3階,305000,15000,305000,305000,2LDK,76.82,https://suumo.jp/chintai/jnc_000086888815/?bc=100356449323,-1,3,3,3
東急東横線 学芸大学駅 2階建 築26年,東京都目黒区五本木３,東急東横線/学芸大学駅 歩6分,東急東横線/祐天寺駅 歩16分,東急東横線/都立大学駅 歩24分,26,2階建,2階,201000,3500,70000,301500,2LDK,70.8,https://suumo.jp/chintai/jnc_000086405318/?bc=100353193153,0,2,2,2
東急田園都市線 池尻大橋駅 7階建 築50年,東京都目黒区駒場１,東急田園都市線/池尻大橋駅 歩10分,京王井の頭線/駒場東大前駅 歩8分,東急田園都市線/三軒茶屋駅 歩30分,50,7階建,6階,135000,0,135000,135000,2DK,46.3,https://suumo.jp/chintai/jnc_000086781482/?bc=100356127587,0,7,6,6
東急東横線 中目黒駅 地下1地上5階建 築12年,東京都目黒区上目黒３,東急東横線/中目黒駅 歩3分,東急東横線/代官山駅 歩12分,東急東横線/祐天寺駅 歩15分,12,地下1地上5階建,4階,365000,0,365000,365000,2LDK,58.18,https://suumo.jp/chintai/jnc_000086625669/?bc=100354840321,-1,5,4,4
東急東横線 中目黒駅 19階建 築17年,東京都目黒区上目黒２,東急東横線/中目黒駅 歩4分,東急東横線/代官山駅 歩12分,東急東横線/祐天寺駅 歩13分,17,19階建,3階,400000,15000,400000,800000,2LDK,70.34,https://suumo.jp/chintai/jnc_000085975522/?bc=100353654505,0,19,3,3
ジェイパーク目黒４,東京都目黒区下目黒２,東急目黒線/不動前駅 歩7分,ＪＲ山手線/目黒駅 歩11分,東急目黒線/武蔵小山駅 歩19分,20,9階建,1階,350000,15000,350000,350000,2LDK,78.63,https://suumo.jp/chintai/jnc_000086472024/?bc=100353641673,0,9,1,1
ジェイパーク目黒４,東京都目黒区下目黒２,東急目黒線/不動前駅 歩7分,ＪＲ山手線/目黒駅 歩11分,東急目黒線/武蔵小山駅 歩19分,20,9階建,1階,350000,15000,350000,350000,2LDK,78.63,https://suumo.jp/chintai/jnc_000086383767/?bc=100353084118,0,9,1,1
ジェイパーク目黒４,東京都目黒区下目黒２,東急目黒線/不動前駅 歩7分,ＪＲ山手線/目黒駅 歩11分,東急目黒線/武蔵小山駅 歩19分,20,9階建,1階,350000,15000,350000,350000,2LDK,78.63,https://suumo.jp/chintai/jnc_000086415918/?bc=100356399365,0,9,1,1
ジェイパーク目黒４,東京都目黒区下目黒２,東急目黒線/不動前駅 歩7分,ＪＲ山手線/目黒駅 歩11分,東急目黒線/武蔵小山駅 歩19分,20,9階建,1階,350000,15000,350000,350000,2LDK,78.63,https://suumo.jp/chintai/jnc_000086379904/?bc=100353607942,0,9,1,1
パインツリー,東京都目黒区中根２,東急東横線/都立大学駅 歩8分,東急東横線/自由が丘駅 歩16分,東急大井町線/緑が丘駅 歩15分,2,2階建,2階,134000,5000,134000,134000,2K,31.71,https://suumo.jp/chintai/jnc_000086072853/?bc=100347796602,0,2,2,2
東急東横線 学芸大学駅 7階建 築23年,東京都目黒区目黒本町４,東急東横線/学芸大学駅 歩15分,東急目黒線/西小山駅 歩15分,東急目黒線/武蔵小山駅 歩16分,23,7階建,4階,252000,12000,252000,0,2SLDK,69.16,https://suumo.jp/chintai/jnc_000084446688/?bc=100347758731,0,7,4,4
東急東横線 学芸大学駅 7階建 築23年,東京都目黒区目黒本町４,東急東横線/学芸大学駅 歩15分,東急目黒線/西小山駅 歩15分,東急目黒線/武蔵小山駅 歩16分,23,7階建,6階,255000,12000,255000,0,2SLDK,69.16,https://suumo.jp/chintai/jnc_000071687929/?bc=100356316015,0,7,6,6
ウィングスガーデン,東京都目黒区下目黒６,東急東横線/学芸大学駅 歩17分,東急目黒線/武蔵小山駅 歩16分,,14,地下1地上4階建,1階,169000,10000,169000,0,2LDK,45.88,https://suumo.jp/chintai/jnc_000086836168/?bc=100345588931,-1,4,1,1
メゾンクボタ,東京都目黒区中町１,東急東横線/祐天寺駅 歩15分,東急目黒線/目黒駅 歩20分,東急目黒線/武蔵小山駅 歩21分,38,4階建,3階,128000,0,128000,128000,2DK,39.6,https://suumo.jp/chintai/jnc_000084679861/?bc=100344779590,0,4,3,3
メゾンクボタ,東京都目黒区中町１,東急東横線/祐天寺駅 歩15分,東急目黒線/目黒駅 歩20分,東急目黒線/武蔵小山駅 歩21分,38,4階建,3階,130000,0,130000,130000,2DK,39.6,https://suumo.jp/chintai/jnc_000013399467/?bc=100328400936,0,4,3,3
東急東横線 都立大学駅 地下1地上6階建 築24年,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩3分,東急大井町線/自由が丘駅 歩20分,東急目黒線/奥沢駅 歩26分,24,地下1地上6階建,4階,226000,15000,226000,226000,2LDK,57.67,https://suumo.jp/chintai/jnc_000045000077/?bc=100355783511,-1,6,4,4
東急東横線 祐天寺駅 2階建 築34年,東京都目黒区目黒４,東急東横線/祐天寺駅 歩17分,ＪＲ山手線/目黒駅 バス8分 (バス停)大塚山 歩1分,東急東横線/中目黒駅 歩19分,34,2階建,1階,110000,2000,110000,0,2DK,38.36,https://suumo.jp/chintai/jnc_000086915574/?bc=100356640548,0,2,1,1
クリオレミントンハウス恵比寿,東京都目黒区三田１,ＪＲ山手線/目黒駅 歩9分,東京メトロ南北線/目黒駅 歩9分,ＪＲ山手線/恵比寿駅 歩10分,25,10階建,3階,345500,0,345500,345500,2LDK,81.58,https://suumo.jp/chintai/jnc_000086230732/?bc=100351975963,0,10,3,3
