名前,住所,最寄り駅１,最寄り駅２,最寄り駅３,築年数,建物全体の階数,階数,賃料,管理費,敷金,礼金,間取り,面積,URL,建物階数_最小,建物階数_最大,階数_最小,階数_最大
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,3階,205000,15000,0,0,2DK,40.13,https://suumo.jp/chintai/jnc_000086672290/?bc=100355208144,0,6,3,3
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,3階,206000,15000,0,0,2DK,40.07,https://suumo.jp/chintai/jnc_000086672293/?bc=100355594528,0,6,3,3
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,4階,207000,15000,0,0,2DK,40.31,https://suumo.jp/chintai/jnc_000086672296/?bc=100355594551,0,6,4,4
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,4階,207000,15000,0,0,2DK,40.13,https://suumo.jp/chintai/jnc_000086672297/?bc=100355594558,0,6,4,4
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,4階,208000,15000,0,0,2DK,40.07,https://suumo.jp/chintai/jnc_000086672300/?bc=100355412102,0,6,4,4
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,5階,209000,15000,0,0,2DK,40.13,https://suumo.jp/chintai/jnc_000086672302/?bc=100356208547,0,6,5,5
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,1階,210000,15000,0,0,2DK,40.31,https://suumo.jp/chintai/jnc_000086672278/?bc=100356209502,0,6,1,1
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,5階,210000,15000,0,0,2DK,40.07,https://suumo.jp/chintai/jnc_000086672305/?bc=100355594469,0,6,5,5
東急目黒線 武蔵小山駅 6階建 新築,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分,東急目黒線/西小山駅 歩13分,東急池上線/戸越銀座駅 歩22分,0,6階建,5階,235000,15000,0,0,2DK,40.45,https://suumo.jp/chintai/jnc_000086666858/?bc=100356209263,0,6,5,5
柿の木坂Ｋ＆Ｆ,東京都目黒区柿の木坂２,東急東横線/都立大学駅 歩10分,東急東横線/学芸大学駅 歩16分,,29,地下1地上2階建,1階,120000,3000,120000,120000,2DK,41.8,https://suumo.jp/chintai/jnc_000057189679/?bc=100356776215,-1,2,1,1
GRAN PASEO碑文谷North,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩8分,東急目黒線/大岡山駅 歩14分,東急東横線/学芸大学駅 歩19分,3,4階建,3階,172000,15000,0,0,2DK,40.16,https://suumo.jp/chintai/jnc_000069781605/?bc=100351434525,0,4,3,3
GRAN PASEO碑文谷North,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩8分,東急目黒線/大岡山駅 歩14分,東急東横線/学芸大学駅 歩19分,3,4階建,1階,180000,10000,0,0,2DK,41.11,https://suumo.jp/chintai/jnc_000085588401/?bc=100356400330,0,4,1,1
GRAN PASEO碑文谷North,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩8分,東急目黒線/大岡山駅 歩14分,東急東横線/学芸大学駅 歩19分,3,4階建,3階,183000,15000,0,0,2DK,41.11,https://suumo.jp/chintai/jnc_000086450463/?bc=100352364943,0,4,3,3
東急田園都市線 池尻大橋駅 4階建 新築,東京都目黒区東山３,東急田園都市線/池尻大橋駅 歩5分,京王井の頭線/神泉駅 歩22分,京王井の頭線/駒場東大前駅 歩24分,0,4階建,2階,254000,15000,254000,0,2DK,53,https://suumo.jp/chintai/jnc_000086298068/?bc=100352696151,0,4,2,2
東急田園都市線 池尻大橋駅 4階建 新築,東京都目黒区東山３,東急田園都市線/池尻大橋駅 歩5分,京王井の頭線/神泉駅 歩22分,京王井の頭線/駒場東大前駅 歩24分,0,4階建,1階,284000,20000,284000,0,2LDK,72.03,https://suumo.jp/chintai/jnc_000086298059/?bc=100352550642,0,4,1,1
東急田園都市線 池尻大橋駅 4階建 新築,東京都目黒区東山３,東急田園都市線/池尻大橋駅 歩5分,京王井の頭線/神泉駅 歩22分,京王井の頭線/駒場東大前駅 歩24分,0,4階建,1階,300000,20000,300000,0,2LDK,68.39,https://suumo.jp/chintai/jnc_000086298063/?bc=100352550572,0,4,1,1
東急東横線 都立大学駅 2階建 築2年,東京都目黒区碑文谷３,東急東横線/都立大学駅 歩11分,東急目黒線/大岡山駅 歩16分,東急目黒線/洗足駅 歩18分,2,2階建,2階,173000,7000,173000,346000,2DK,54.84,https://suumo.jp/chintai/jnc_000086215734/?bc=100352134066,0,2,2,2
